,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
69,레이튼 교수와 이상한 마을 HD,어드벤처,TouchRetouch,사진,Flashcards Deluxe,교육,Alien: Blackout,tion,Alook 브라우저 - 2 배속,ilities,데이그램 - 하루 한줄 일기장,라이프스타일
70,Blink - 빠른 메모 블링크,oductivity,오투잼 - 뮤직 & 게임,,봄날 - Season Camera (시즌카메라),사진,MyToday,festyle,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Kingdom Rush Frontiers,전략
71,기획사 스토리♪,시뮬레이션,던전 서바이벌,롤플레잉,"계획표는, 동그라미 - 일정관리 앱과 위젯",,European War 6: 1914,,RFS - Real Flight Simulator,시뮬레이션,Rebel Inc. (반란 주식회사),시뮬레이션
72,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,Aquarium Tycoon,,오투잼 - 뮤직 & 게임,,Procreate Pocket,tertainment,백점+,tertainment,TouchRetouch,사진
73,Alook 브라우저 - 2 배속,ilities,To the Moon,롤플레잉,迷失岛3宇宙的尘埃,,데이그램 - 하루 한줄 일기장,라이프스타일,데이그램 - 하루 한줄 일기장,라이프스타일,RightFont,
74,Agent A - 숨겨진 퍼즐,퍼즐,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Poly Bridge,zzle,Bloons TD 6,전략,Hyper Light Drifter,,오투잼 - 뮤직 & 게임,
75,Song of Bloom,,Kingdom Rush Frontiers,전략,RightFont,,RightFont,,FEELT,oto & Video,Notability,oductivity
76,Amazing Frog?,tion,Wordmaster 워드마스터 수능 2000(18개정),ucation,Hero Siege: 포켓 에디션,롤플레잉,Age of Civilizations II,전략,60 Seconds! Atomic Adventure,어드벤처,BADLAND,어드벤처
77,"BookTree: 도서 관리, 밑줄 및 독서 노트",oks,마녀의 샘4,롤플레잉,TEDICT - TED로 영어를 배우세요,교육,Rebel Inc. (반란 주식회사),시뮬레이션,The Room: Old Sins,퍼즐,Word master 워드마스터 수능 2000(개정),교육
78,Muse Dash,음악,Alto s Adventure,액션,연락처++ (그룹관리/초성검색다이얼/백업/메일/메시지/정리),ilities,FINAL FANTASY III,롤플레잉,Analog Beijing,oto & Video,Membership Widget Pro,nance
79,Pou,캐주얼 게임,Splendor,보드,Bloons TD 6,전략,Human: Fall Flat,퍼즐,Analog Acoustic,oto & Video,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉
80,Procreate Pocket,tertainment,Florence,퍼즐,위젯 캘린더,festyle,Instax - Instant Photo Maker,oto & Video,NightCap Pro,oto & Video,Bloons TD 6,전략
81,60 Seconds! Atomic Adventure,어드벤처,Pulse Oximeter - Heart and Oxygen Monitor App - with Health and HealthKit Integration,alth & Fitness,데이그램 - 하루 한줄 일기장,라이프스타일,Splendor,보드,레이튼 교수와 이상한 마을 HD,어드벤처,True Skate,스포츠
82,Rusty Lake Paradise KR,venture,PL@Y - 프리미엄 티켓북,festyle,Blink - 빠른 메모 블링크,oductivity,미로섬2: 시간의 잿더미,퍼즐,Bloons TD 6,전략,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처
83,Human: Fall Flat,퍼즐,워터파크 스토리,시뮬레이션,FEELT,oto & Video,Monument Valley 2,퍼즐,언노운 나이츠,롤플레잉,Duologue,
84,NightCap Pro,oto & Video,연락처++ (그룹관리/초성검색다이얼/백업/메일/메시지/정리),ilities,MyToday,festyle,Cytus,아케이드,RightFont,,CampNight - 자연의 소리 수면 타이머,
85,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,ucation,FEELT,oto & Video,Rummikub,보드,Analog Beijing,oto & Video,Tempo - Metronome 메트로놈,sic,PL@Y - 프리미엄 티켓북,festyle
86,TouchRetouch,사진,Poly Bridge,zzle,길고양이 이야기 : support edition,어드벤처,VINYL - Kyoto,,DRAGON QUEST,롤플레잉,던전공주,롤플레잉
87,Tempo - Metronome 메트로놈,sic,마녀의 샘,롤플레잉,Agent A - 숨겨진 퍼즐,퍼즐,Membership Widget Pro,nance,만화와 텍스트 - TXT 와 압축파일(+ PDF) 뷰어,oks,Alien: Blackout,tion
88,European War 6: 1914,,Rusty Lake Hotel KR,venture,iReal Pro ? 음악 책 & 합주,sic,TouchRetouch,사진,삼국지 한말패업,전략,LumaFusion,oto & Video
89,Pirates Outlaws,카드,Old Man s Journey,어드벤처,European War 6: 1914,,회독JLPT,ucation,Terraria,어드벤처,The Room: Old Sins,퍼즐
90,한국사 능력,ucation,Isoland,venture,Euclidean Lands,venture,Calculator,ucation,BADLAND,어드벤처,레이튼 교수와 이상한 마을 HD,어드벤처
91,Tank Hero,아케이드,RFS - Real Flight Simulator,시뮬레이션,Cute Emoticon Keyboard,cial Networking,Analog Acoustic,oto & Video,Calculator,ucation,Alook 브라우저 - 2 배속,ilities
92,우리말 공부,ucation,삼국지 한말패업,전략,"BookTree: 도서 관리, 밑줄 및 독서 노트",oks,RollerCoaster Tycoon® Classic,시뮬레이션,오드마,어드벤처,위플 가계부,nance
93,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,FILCA - SLR 필름 카메라,oto & Video,Terraria,어드벤처,"전국여행지도 - 에이든, 국내여행지 1000개 총정리",,Analog Portland,oto & Video,WolframAlpha,도서/참고자료
94,Bloons TD 6,전략,Cytus II (사이터스Ⅱ),음악,폴라리스 오피스 5 (POLARIS Office 5) - 마이크로소프트 오피스 문서 편집,oductivity,Tempo - Metronome 메트로놈,sic,FILCA - SLR 필름 카메라,oto & Video,Portal Knights,어드벤처
95,RFS - Real Flight Simulator,시뮬레이션,던전메이커,전략,WolframAlpha,도서/참고자료,"BookTree: 도서 관리, 밑줄 및 독서 노트",oks,위플 가계부,nance,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일
96,Membership Widget Pro,nance,서울 2033 : 후원자,어드벤처,The Room Three,venture,R-Play - PS4를 위한 리모트 플레이,tertainment,LumaFusion,oto & Video,마녀의 샘,롤플레잉
97,Ski Safari,아케이드,Cute Emoticon Keyboard,cial Networking,겨울날 - Season Camera (시즌카메라),사진,Word master 워드마스터 수능 2000(개정),교육,Street Fighter IV CE,cade,Terraria,어드벤처
98,언투다이2 (Earn to Die 2),자동차 경주,Rusty Lake: Roots KR,venture,이태리사진관,oto & Video,PL@Y - 프리미엄 티켓북,festyle,폴라리스 오피스 5 (POLARIS Office 5) - 마이크로소프트 오피스 문서 편집,oductivity,BADLAND 2,어드벤처
99,Kingdom Rush Frontiers,전략,hocus.,퍼즐,Muse Dash,음악,Pascal s Wager,,Don t Starve: Pocket Edition,어드벤처,Bloons TD 5,전략
