,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
20,Analog Seoul,SOVS - 촬영부탁 필수앱,SOVS - 촬영부탁 필수앱,Minecraft,Facetune - 무광고 버전,Minecraft,V LIVE,SERIES - 네이버 시리즈,라플라스M,라플라스M,배틀그라운드,스푼 라디오 - Be A LIVE
21,한국장학재단,YouTube,Netflix(넷플릭스),배달의민족,탈출 게임 The Wizard of Oz,카카오뱅크 - 같지만 다른 은행,배틀그라운드,뇌명천하,리니지M(12),리니지M(12),왕이되는자,리니지M(12)
22,서머너즈 워: 천공의 아레나,삼국지M,왕이되는자,이사만루2019,이사만루2019,배틀그라운드,랑그릿사,wavve(웨이브) - 재미의 파도를 타다!,SERIES - 네이버 시리즈,하쿠나 라이브 -  Live 방송,스푼 라디오 - Be A LIVE,왕이되는자
23,Analog London,Feica - 나의 첫번째 필름 카메라,Rummikub,Football Manager 2019 Mobile,Analog Jeju,A Dance Of Fire and Ice,모두의마블,황제라 칭하라,브롤스타즈,황제라 칭하라,SERIES - 네이버 시리즈,쿠키런: 오븐브레이크
24,Flick Ball - Physics Game,Crowd City,쿠팡 (Coupang),브롤스타즈,SRT - 수서고속철도(NEW),i-ONE Bank - IBK기업은행,SERIES - 네이버 시리즈,명일방주,삼국지M,SERIES - 네이버 시리즈,황제라 칭하라,하쿠나 라이브 -  Live 방송
25,컴투스프로야구2020,세븐나이츠,메이플스토리M,YouTube,메이플스토리M,삼국지M,뇌명천하,샤이닝라이트,왕이되는자,모두의마블,명일방주,리니지2M(12)
26,Rummikub,구닥,유니콘:광고차단 필수 앱,Forest: 집중하기,Analog Budapest,FILCA - SLR 필름 카메라,스푼 라디오 - Be A LIVE,마피아42,스푼 라디오 - Be A LIVE,쿠키런: 오븐브레이크,하쿠나 라이브 -  Live 방송,케페우스M
27,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",브롤스타즈,NAVER VIBE (바이브),뱅크샐러드,Run Race 3D,뱅크샐러드,달빛조각사,스푼 라디오 - Be A LIVE,Netflix(넷플릭스),클래시 오브 클랜,브롤스타즈,라플라스M
28,에픽세븐,헌드레드 소울,신명,황제라 칭하라,삼국지M,러브앤프로듀서,서머너즈 워: 천공의 아레나,퍼즐앤드래곤,배틀그라운드,브롤스타즈,리니지M(12),일곱 개의 대죄: GRAND CROSS
29,FILCA - SLR 필름 카메라,Alto s Odyssey,"Peace, Death!",Rummikub,유니콘:광고차단 필수 앱,Analog Budapest,프린세스 커넥트! Re:Dive,하쿠나 라이브 -  Live 방송,황제라 칭하라,일곱 개의 대죄: GRAND CROSS,왓챠플레이,DRAGON BALL LEGENDS -드래곤 볼 레전즈-
